TIME,USER_1_NUMBER_OF_TRX,USER_1_AMOUNT,USER_2_NUMBER_OF_TRX,USER_2_AMOUNT,USER_3_NUMBER_OF_TRX,USER_3_AMOUNT,USER_4_NUMBER_OF_TRX,USER_4_AMOUNT,USER_5_NUMBER_OF_TRX,USER_5_AMOUNT,MERCHANT_1_NUMBER_OF_TRX,MERCHANT_1_AMOUNT,MERCHANT_2_NUMBER_OF_TRX,MERCHANT_2_AMOUNT,MERCHANT_3_NUMBER_OF_TRX,MERCHANT_3_AMOUNT,MERCHANT_4_NUMBER_OF_TRX,MERCHANT_4_AMOUNT,MERCHANT_5_NUMBER_OF_TRX,MERCHANT_5_AMOUNT
2021-05-02 01:00:00,1.0,185236.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,4614773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 02:00:00,0.0,0.0,1.0,50225.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5511120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 03:00:00,0.0,0.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4779410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,6608786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 05:00:00,0.0,0.0,1.0,72717.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,10484566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 06:00:00,0.0,0.0,1.0,35067.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,6259125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 07:00:00,0.0,0.0,2.0,3298531.18,0.0,0.0,0.0,0.0,0.0,0.0,119.0,7840641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,6239780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,3256741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4171866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 11:00:00,0.0,0.0,1.0,4499.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,4150732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 12:00:00,0.0,0.0,2.0,46300.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,5504998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 16:00:00,2.0,41621.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103366.85,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 19:00:00,1.0,10321.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 20:00:00,1.0,79418.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 21:00:00,2.0,102104.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 22:00:00,1.0,40507.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 01:00:00,0.0,0.0,1.0,36072.95,0.0,0.0,0.0,0.0,0.0,0.0,77.0,6371942.95,1.0,136114.54,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,5249840.0,2.0,111212.4,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5204827.0,3.0,311177.27999999997,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7928553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,6707552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4314068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,13597666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7983513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2044447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2628490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 11:00:00,0.0,0.0,1.0,52116.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,6358834.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4662441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 13:00:00,0.0,0.0,1.0,3607295.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,42700.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 18:00:00,1.0,15445.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 19:00:00,1.0,65161.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11400.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 21:00:00,0.0,0.0,1.0,87000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,136400.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 22:00:00,0.0,0.0,1.0,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03 23:00:00,1.0,51576.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 00:00:00,2.0,7480.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 01:00:00,1.0,97729.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5496975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 02:00:00,1.0,2849880.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,7497059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,11439452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3974202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,5122290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,4317011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1236238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3737095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2553007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3054822.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,7175299.0,1.0,11300.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,7145758.0,1.0,19300.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31400.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 18:00:00,0.0,0.0,1.0,406900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 19:00:00,1.0,63619.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7300.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 21:00:00,0.0,0.0,1.0,224500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,339417.29,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 22:00:00,1.0,20228.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04 23:00:00,1.0,26907.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75800.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,4606591.0,2.0,44896.520000000004,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,5077474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4647294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3833596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,6934775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,4567262.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3676167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2109639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4540400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2429803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,7077477.61,2.0,19100.0,0.0,0.0,0.0,0.0,0.0,0.0
